date | value
2011-01-03 | 3
2011-01-03 | 2.5
2011-01-03 | 0
2011-01-03 | 999.99
2011-01-03 | 1000
2011-01-03 | 1000.01
2011-01-03 | -1
2011-01-03 | abc
2011-01-03 | 1.2.3
2011-01-03 | 1,5
2011-01-03 | 
2011-01-03 |
2011-01-03
2011-01-03 , 1
2011-01-03 | 1a
 2011-01-03 | 3
2011-01-03|3
2011-01-03 |3
2011-01-03| 3
2011-01-32 | 1
2011-04-31 | 1
2011-02-29 | 1
2012-02-29 | 1
2012-13-01 | 1
2012-00-01 | 1
2012-12-00 | 1
abcd-ef-gh | 1
2020-02-30 | 1
2020-02-29 | 1
2020-2-9 | 1
20-02-02 | 1
2020/02/02 | 1
2020-02-02 | 2147483648
2020-02-02 | -2147483648
2020-02-02 |
2020-02-02
2020-02-02 | 1.0
